alert_id,timestamp,route_id,trip_id,risk_level,risk_score,alert_title,summary,key_findings,evidence,affected_route,affected_trip,affected_segment,estimated_revenue_impact_inr,confidence,recommended_action,dominant_explanation_type,status,version
ALT-08FD7E7DD1FE,2026-08-31T04:21:56.071602+00:00,991,1,SUSPICIOUS,0.7029,Localized Segment Discrepancy Alert — Route 991,Graph analysis localized a concentrated revenue and passenger deficit along 20921_PF5 -> 32209 (Seq 1-12) with 79.8% spatial confidence (estimated impact: ₹321.55).,"['Expected Revenue: ₹441.55 | Reported Revenue: ₹120.00 (Deficit: ₹321.55, 72.8%)', 'Expected Passengers: 40 | Reported Passengers: 13 (Difference: 27, 67.3%)', 'Multi-factor Risk Score: 0.7029 (SUSPICIOUS)', 'Statistical Isolation Anomaly Score: 0.9916', 'Graph Discrepancy Localized Subpath: 20921_PF5 -> 32209 (Seq 1-12) (Confidence: 0.80)']","{'expected_passengers': 39.7, 'reported_passengers': 13.0, 'passenger_difference': 26.7, 'passenger_pct_difference': 67.28, 'expected_revenue_inr': 441.55, 'reported_revenue_inr': 120.0, 'revenue_difference_inr': 321.55, 'revenue_pct_difference': 72.82, 'anomaly_score': 0.9916, 'risk_score': 0.7029, 'localization_confidence': 0.7975, 'localized_subpath': '20921_PF5 -> 32209 (Seq 1-12)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",991,1,20921_PF5 -> 32209 (Seq 1-12),321.55,0.9916,Audit trip ticketing logs and conductor waypoint reconciliations for Trip 1 on Route 991.,SEGMENT_ANOMALY,OPEN,1.0.0
ALT-0266B3C9DCD7,2026-08-31T04:21:56.071730+00:00,991,10,MONITOR,0.3705,Operational Review Alert — Route 991,Trip 10 on Route 991 triggered operational monitoring with composite risk score 0.37.,"['Expected Revenue: ₹441.55 | Reported Revenue: ₹384.00 (Deficit: ₹57.55, 13.0%)', 'Expected Passengers: 44 | Reported Passengers: 39 (Difference: 5, 10.9%)', 'Multi-factor Risk Score: 0.3705 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9889', 'Graph Discrepancy Localized Subpath: 20921_PF5 -> 20702 (Seq 1-3) (Confidence: 0.58)']","{'expected_passengers': 43.8, 'reported_passengers': 39.0, 'passenger_difference': 4.8, 'passenger_pct_difference': 10.93, 'expected_revenue_inr': 441.55, 'reported_revenue_inr': 384.0, 'revenue_difference_inr': 57.55, 'revenue_pct_difference': 13.03, 'anomaly_score': 0.9889, 'risk_score': 0.3705, 'localization_confidence': 0.5756, 'localized_subpath': '20921_PF5 -> 20702 (Seq 1-3)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",991,10,20921_PF5 -> 20702 (Seq 1-3),57.55,0.9889,Include Route 991 Trip 10 in automated telemetry monitoring queue for subsequent schedules.,COMPOSITE_ANOMALY,OPEN,1.0.0
ALT-FC2A795D513F,2026-08-31T04:21:56.071817+00:00,991,100,HIGH_RISK,0.8164,Localized Segment Discrepancy Alert — Route 991,Graph analysis localized a concentrated revenue and passenger deficit along 24379 -> 20921_PF5 (Seq 1-11) with 99.0% spatial confidence (estimated impact: ₹389.22).,"['Expected Revenue: ₹424.22 | Reported Revenue: ₹35.00 (Deficit: ₹389.22, 91.7%)', 'Expected Passengers: 39 | Reported Passengers: 7 (Difference: 32, 82.2%)', 'Multi-factor Risk Score: 0.8164 (HIGH_RISK)', 'Statistical Isolation Anomaly Score: 0.9961', 'Graph Discrepancy Localized Subpath: 24379 -> 20921_PF5 (Seq 1-11) (Confidence: 0.99)']","{'expected_passengers': 39.4, 'reported_passengers': 7.0, 'passenger_difference': 32.4, 'passenger_pct_difference': 82.21, 'expected_revenue_inr': 424.22, 'reported_revenue_inr': 35.0, 'revenue_difference_inr': 389.22, 'revenue_pct_difference': 91.75, 'anomaly_score': 0.9961, 'risk_score': 0.8164, 'localization_confidence': 0.99, 'localized_subpath': '24379 -> 20921_PF5 (Seq 1-11)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",991,100,24379 -> 20921_PF5 (Seq 1-11),389.22,0.9961,"Schedule immediate operational inspection of Electronic Ticketing Machine (ETM) device telemetry, verify conductor trip sheet against segment boardings on Route 991, and audit reconciliation records.",SEGMENT_ANOMALY,OPEN,1.0.0
ALT-1441E8B95608,2026-08-31T04:21:56.071889+00:00,998,1000,MONITOR,0.3598,Operational Review Alert — Route 998,Trip 1000 on Route 998 triggered operational monitoring with composite risk score 0.36.,"['Expected Revenue: ₹445.42 | Reported Revenue: ₹365.00 (Deficit: ₹80.42, 18.1%)', 'Expected Passengers: 59 | Reported Passengers: 52 (Difference: 7, 11.4%)', 'Multi-factor Risk Score: 0.3598 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9944', 'Graph Discrepancy Localized Subpath: 20940 -> 21231 (Seq 1-1) (Confidence: 0.40)']","{'expected_passengers': 58.7, 'reported_passengers': 52.0, 'passenger_difference': 6.7, 'passenger_pct_difference': 11.39, 'expected_revenue_inr': 445.42, 'reported_revenue_inr': 365.0, 'revenue_difference_inr': 80.42, 'revenue_pct_difference': 18.05, 'anomaly_score': 0.9944, 'risk_score': 0.3598, 'localization_confidence': 0.4, 'localized_subpath': '20940 -> 21231 (Seq 1-1)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",998,1000,20940 -> 21231 (Seq 1-1),80.42,0.9944,Include Route 998 Trip 1000 in automated telemetry monitoring queue for subsequent schedules.,COMPOSITE_ANOMALY,OPEN,1.0.0
ALT-46807941259F,2026-08-31T04:21:56.071958+00:00,1324,10000,MONITOR,0.3027,Operational Review Alert — Route 1324,Trip 10000 on Route 1324 triggered operational monitoring with composite risk score 0.30.,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1624.00 (Deficit: ₹185.13, 10.2%)', 'Expected Passengers: 152 | Reported Passengers: 137 (Difference: 15, 10.1%)', 'Multi-factor Risk Score: 0.3027 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9818']","{'expected_passengers': 152.4, 'reported_passengers': 137.0, 'passenger_difference': 15.4, 'passenger_pct_difference': 10.1, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1624.0, 'revenue_difference_inr': 185.13, 'revenue_pct_difference': 10.23, 'anomaly_score': 0.9818, 'risk_score': 0.3027, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10000,,185.13,0.9818,Include Route 1324 Trip 10000 in automated telemetry monitoring queue for subsequent schedules.,COMPOSITE_ANOMALY,OPEN,1.0.0
ALT-80DDC59232E5,2026-08-31T04:21:56.072022+00:00,1324,10001,MONITOR,0.3342,Operational Review Alert — Route 1324,Trip 10001 on Route 1324 triggered operational monitoring with composite risk score 0.33.,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1525.00 (Deficit: ₹284.13, 15.7%)', 'Expected Passengers: 153 | Reported Passengers: 129 (Difference: 24, 15.5%)', 'Multi-factor Risk Score: 0.3342 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9807']","{'expected_passengers': 152.6, 'reported_passengers': 129.0, 'passenger_difference': 23.6, 'passenger_pct_difference': 15.48, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1525.0, 'revenue_difference_inr': 284.13, 'revenue_pct_difference': 15.71, 'anomaly_score': 0.9807, 'risk_score': 0.3342, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10001,,284.13,0.9807,Include Route 1324 Trip 10001 in automated telemetry monitoring queue for subsequent schedules.,COMPOSITE_ANOMALY,OPEN,1.0.0
ALT-64CF9B10D647,2026-08-31T04:21:56.072096+00:00,1324,10002,MONITOR,0.3225,Operational Review Alert — Route 1324,Trip 10002 on Route 1324 triggered operational monitoring with composite risk score 0.32.,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1568.00 (Deficit: ₹241.13, 13.3%)', 'Expected Passengers: 151 | Reported Passengers: 131 (Difference: 20, 13.3%)', 'Multi-factor Risk Score: 0.3225 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9812']","{'expected_passengers': 151.0, 'reported_passengers': 131.0, 'passenger_difference': 20.0, 'passenger_pct_difference': 13.27, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1568.0, 'revenue_difference_inr': 241.13, 'revenue_pct_difference': 13.33, 'anomaly_score': 0.9812, 'risk_score': 0.3225, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10002,,241.13,0.9812,Include Route 1324 Trip 10002 in automated telemetry monitoring queue for subsequent schedules.,COMPOSITE_ANOMALY,OPEN,1.0.0
ALT-F97FDAE36B33,2026-08-31T04:21:56.072165+00:00,1324,10003,MONITOR,0.458,Localized Segment Discrepancy Alert — Route 1324,Graph analysis localized a concentrated revenue and passenger deficit along 21172 -> 22645_PF3 (Seq 1-41) with 68.8% spatial confidence (estimated impact: ₹339.13).,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1470.00 (Deficit: ₹339.13, 18.7%)', 'Expected Passengers: 150 | Reported Passengers: 122 (Difference: 28, 18.8%)', 'Multi-factor Risk Score: 0.4580 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9786', 'Graph Discrepancy Localized Subpath: 21172 -> 22645_PF3 (Seq 1-41) (Confidence: 0.69)']","{'expected_passengers': 150.2, 'reported_passengers': 122.0, 'passenger_difference': 28.2, 'passenger_pct_difference': 18.77, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1470.0, 'revenue_difference_inr': 339.13, 'revenue_pct_difference': 18.75, 'anomaly_score': 0.9786, 'risk_score': 0.458, 'localization_confidence': 0.6884, 'localized_subpath': '21172 -> 22645_PF3 (Seq 1-41)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10003,21172 -> 22645_PF3 (Seq 1-41),339.13,0.9786,Include Route 1324 Trip 10003 in automated telemetry monitoring queue for subsequent schedules.,SEGMENT_ANOMALY,OPEN,1.0.0
ALT-0DC5E29C3EBA,2026-08-31T04:21:56.072228+00:00,1324,10004,NORMAL,0.2876,Nominal Operating Status — Route 1324,Trip 10004 operates within nominal baseline parameters (risk score 0.29).,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1688.00 (Deficit: ₹121.13, 6.7%)', 'Expected Passengers: 148 | Reported Passengers: 138 (Difference: 10, 6.8%)', 'Multi-factor Risk Score: 0.2876 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9811']","{'expected_passengers': 148.1, 'reported_passengers': 138.0, 'passenger_difference': 10.1, 'passenger_pct_difference': 6.8, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1688.0, 'revenue_difference_inr': 121.13, 'revenue_pct_difference': 6.7, 'anomaly_score': 0.9811, 'risk_score': 0.2876, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10004,,121.13,0.9811,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-AED382B31C86,2026-08-31T04:21:56.072292+00:00,1324,10005,MONITOR,0.4598,Localized Segment Discrepancy Alert — Route 1324,Graph analysis localized a concentrated revenue and passenger deficit along 21172 -> 22645_PF3 (Seq 1-41) with 74.4% spatial confidence (estimated impact: ₹315.13).,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1494.00 (Deficit: ₹315.13, 17.4%)', 'Expected Passengers: 149 | Reported Passengers: 123 (Difference: 26, 17.6%)', 'Multi-factor Risk Score: 0.4598 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9781', 'Graph Discrepancy Localized Subpath: 21172 -> 22645_PF3 (Seq 1-41) (Confidence: 0.74)']","{'expected_passengers': 149.2, 'reported_passengers': 123.0, 'passenger_difference': 26.2, 'passenger_pct_difference': 17.56, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1494.0, 'revenue_difference_inr': 315.13, 'revenue_pct_difference': 17.42, 'anomaly_score': 0.9781, 'risk_score': 0.4598, 'localization_confidence': 0.7443, 'localized_subpath': '21172 -> 22645_PF3 (Seq 1-41)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10005,21172 -> 22645_PF3 (Seq 1-41),315.13,0.9781,Include Route 1324 Trip 10005 in automated telemetry monitoring queue for subsequent schedules.,SEGMENT_ANOMALY,OPEN,1.0.0
